location_id|stall_id|id|name|in_stock|school_price|public_price|category|kcal|compulsory_options|optional_options|tags|image_url
1|1|1|Boiled Chicken Rice|TRUE|3.5|4|1||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||https://mtc1-dydfxmh.netdna-ssl.com/wp-content/uploads/2016/08/22168498135_84560366eb_k-1300x866.jpg
1|1|2|Roasted Chicken Rice|TRUE|3.5|4|1||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNsiwCrGaI3Awng2PICuZnqTYR3nMG8QcCPI5KTy-kLp3pceQz1w
1|1|3|Char Siew Rice|TRUE|3.5|4|1||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||https://farm5.staticflickr.com/4704/38967855565_39737316a5_h.jpg
1|1|4|Roasted Pork Rice|TRUE|3.5|4|1||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||https://kopitiam.gofoodpng.biz/wp-content/uploads/2017/08/Roast-Pork-Rice.jpg
1|1|5|Char Siew Wanton Soup|TRUE|3.8|4.3|1||{"Choice of Noodles":{"Noodle":{"cost":0.0},"Kuay Teow":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||https://i1.wp.com/angsarap.net/wp-content/uploads/2012/10/wonton-and-char-siu-pork-noodle-soup.jpg
1|1|6|Char Siew Wanton Dry|TRUE|4|4.5|1||{"Choice of Noodles":{"Noodle":{"cost":0.0},"Kuay Teow":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||https://3.bp.blogspot.com/-8wbV23ri8jQ/VzrE6PWimFI/AAAAAAADJwg/x1KJALoK03Qiv58j3BG1RgdLy0GUWBeOgCLcB/s1600/DSC_0091jk.JPG
1|1|7|Boiled/Roasted Chicken Soup|TRUE|4|4.5|1||{"Choice of Noodles":{"Noodle":{"cost":0.0},"Kuay Teow":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||https://omnivorescookbook.com/wp-content/uploads/2016/03/1603_Cantonese-Wonton-Noodle-Soup_004.jpg
1|1|8|Boiled/Roasted Chicken Dry|TRUE|4|4.5|1||{"Choice of Noodles":{"Noodle":{"cost":0.0},"Kuay Teow":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||http://lh4.ggpht.com/7hw2ajsBycXskMFf0Q9zjpO-z6bfFxQfiKtTTBR2FNllj8SonE2Q2wo98wMdtDFPyYdAColN3wrRVBz__CD8-qff=s800
1|1|9|Roasted Duck Soup/Dry|TRUE|4.5|5|1||{"Options":{"Soup":{"cost":0.0},"Dry":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|10|Roasted Duck Rice|TRUE|4|4.5|1||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|11|Assorted Mushroom Spinach Noodle Dry|TRUE|4|4.5|1||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|12|Roasted Pork Soup/Dry|TRUE|4|4.5|1||{"Options":{"Soup":{"cost":0.0},"Dry":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|13|Macaroni Soup with Shredded Chicken|TRUE|3.8|4.3|1||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|14|Char Siew|TRUE|3|3.5|2||{"Size":{"Small":{"cost":0.0},"Medium":{"cost":0.5}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|15|Roast Pork|TRUE|3|3.5|2||{"Size":{"Small":{"cost":0.0},"Medium":{"cost":0.5}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|16|Boiled/Roasted Chicken|TRUE|3|3.5|2||{"Type of Chicken":{"Boiled":{"cost":0.0},"Roasted":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|17|Boiled/Roasted Drumlet|TRUE|3.8|4.2|2||{"Type of Chicken":{"Boiled":{"cost":0.0},"Roasted":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|18|Wanton Soup|TRUE|3|3.5|2||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|19|Deep Fried Wanton|TRUE|3|3.5|2||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|20|Bean Sprout with Sesame Sauce|TRUE|1.5|2|2||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|21|Chye Sim with Sesame|TRUE|1.5|2|2||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|22|Braised Egg|TRUE|0.6|0.8|2||{}|{}||
1|1|23|Plain Noodles/Kuay Teow Soup|TRUE|1.5|2|2||{"Choice of Noodles":{"Noodle":{"cost":0.0},"Kuay Teow":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|24|Plain Noodles/Kuay Teow Dry|TRUE|1.5|2|2||{"Choice of Noodles":{"Noodle":{"cost":0.0},"Kuay Teow":{"cost":0.0}}}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|25|Char Siew Noodle|TRUE|2.5|3|1||{}|{"Add Ons":{"rice":{"cost":0.5},"chicken":{"cost":0.5},"egg":{"cost":0.4}}}||
1|1|26|Wanton Soup with Rice|TRUE|2.5|3|1||{}|{}||
1|3|1|Ribeye Steak|TRUE|7|8|1||{"Tenderness":{"Rare":{"cost":0.0},"Medium-rare":{"cost":0.0},"Medium":{"cost":0.0},"Medium-well":{"cost":0.0},"Well Done":{"cost":0.0}}}|{}||
1|3|2|Mixed Grilled|TRUE|7|8|1||{}|{}||
1|3|3|Grilled Salmon|TRUE|7|8|1||{}|{}||
